sentenceID,isConcordant,sentenceType,isPlausible,sentenceContent,sentenceLoop.thisRepN,sentenceLoop.thisTrialN,sentenceLoop.thisN,sentenceLoop.thisIndex,instr.started,instr.stopped,confirm.keys,confirm.rt,confirm.started,confirm.stopped,isNative.started,isNative.stopped,isNativeResp.keys,isNativeResp.rt,isNativeResp.started,isNativeResp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,practice1Cross.started,practice1Cross.stopped,practice1Text.started,practice1Text.stopped,practice1Resp.keys,practice1Resp.rt,practice1Resp.started,practice1Resp.stopped,feedback1Text.started,feedback1Text.stopped,feedback1Blank.started,feedback1Blank.stopped,practice2Cross.started,practice2Cross.stopped,practice2Text.started,practice2Text.stopped,practice2Resp.keys,practice2Resp.rt,practice2Resp.started,practice2Resp.stopped,feedback2Text.started,feedback2Text.stopped,feedback2Blank.started,feedback2Blank.stopped,sentence.started,sentence.stopped,fixationCross.started,fixationCross.stopped,sentenceResp.keys,sentenceResp.rt,sentenceResp.started,sentenceResp.stopped,debriefText.started,debriefText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,17.286830299999565,None,y,50.09394420008175,17.286830299999565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
,,,,,,,,,,,,,,,67.41843659989536,None,n,5.309892100049183,67.41843659989536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
,,,,,,,,,,,,,,,,,,,,,72.75588189996779,77.76769879995845,77.73499949998222,None,80.74842539988458,81.74815139989369,81.73157910001464,None,y,1.1981176000554115,81.73157910001464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.98607750004157,87.99261879990809,87.97670500003733,None,90.99027660000138,91.98956230003387,91.97293779999018,None,n,1.3476509000174701,91.97293779999018,None,,,,,,,,,,,,,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
2,True,transitive,False,The box opened the teacher.,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.36342229996808,98.36765699996613,98.35161040001549,None,102.43108609993942,None,101.43364029983059,102.4478096999228,n,1.5392409998457879,102.43108609993942,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
63,False,intransitive,True,The sweater tore along the seams.,0,1,1,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0123015998397,None,104.0138399999123,105.02910259994678,n,1.2463219000492245,105.0123015998397,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
24,True,intransitive,False,The sun hardened in the concrete.,0,2,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.27725829998963,109.79135739989579,106.29146179999225,107.29385709995404,n,2.6956098000518978,107.27725829998963,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
26,True,intransitive,False,The wash shrank in the shirt.,0,3,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.99076079996303,None,110.00403339997865,111.00722679984756,y,1.8650790001265705,110.99076079996303,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
52,False,intransitive,False,The leaves clogged after the rain.,0,4,4,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.87176640005782,None,112.88618449983187,113.88848259998485,y,2.0863807001151145,113.87176640005782,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
46,False,transitive,False,The balloon burst the boy.,0,5,5,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.98576959990896,None,115.99751809984446,117.00253319996409,n,1.7172183999791741,116.98576959990896,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
6,True,transitive,False,The wine poured the waiter.,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.73361340002157,None,118.74564269999973,119.75028839986771,n,1.328810099978,119.73361340002157,None,,,3,001,2021_Dec_01_1507,sentPlausibility,2021.2.3,60.05602029077241,
