sentenceID,isConcordant,sentenceType,isPlausible,sentenceContent,sentenceLoop.thisRepN,sentenceLoop.thisTrialN,sentenceLoop.thisN,sentenceLoop.thisIndex,instr.started,instr.stopped,confirm.keys,confirm.rt,confirm.started,confirm.stopped,isNative.started,isNative.stopped,isNativeResp.keys,isNativeResp.rt,isNativeResp.started,isNativeResp.stopped,hasReadProb.started,hasReadProb.stopped,hasReadProbResp.keys,hasReadProbResp.rt,hasReadProbResp.started,hasReadProbResp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,practice1Cross.started,practice1Cross.stopped,practice1Text.started,practice1Text.stopped,practice1Resp.keys,practice1Resp.rt,practice1Resp.started,practice1Resp.stopped,feedback1Text.started,feedback1Text.stopped,feedback1Blank.started,feedback1Blank.stopped,practice2Cross.started,practice2Cross.stopped,practice2Text.started,practice2Text.stopped,practice2Resp.keys,practice2Resp.rt,practice2Resp.started,practice2Resp.stopped,feedback2Text.started,feedback2Text.stopped,feedback2Blank.started,feedback2Blank.stopped,sentence.started,sentence.stopped,fixationCross.started,fixationCross.stopped,sentenceResp.keys,sentenceResp.rt,sentenceResp.started,sentenceResp.stopped,debriefText.started,debriefText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,8.722510099876672,None,y,33.408654500031844,8.722510099876672,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
,,,,,,,,,,,,,,,42.148128899978474,None,n,2.567488200031221,42.148128899978474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
,,,,,,,,,,,,,,,,,,,,,44.733524499926716,None,n,5.933750699972734,44.733524499926716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
,,,,,,,,,,,,,,,,,,,,,,,,,,,50.68906460003927,55.69362149992958,55.677386400057,None,58.680003199959174,59.68128399993293,59.66458630003035,None,y,1.9946966001298279,59.66458630003035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.69554079999216,66.70471239998005,66.68847559997812,None,69.69108289992437,70.69210119987838,70.67553919996135,None,n,1.5597450998611748,70.67553919996135,None,,,,,,,,,,,,,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
35,False,transitive,True,The waves sank the boat.,0,0,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.27139219990931,77.28199459984899,77.24937759991735,None,81.28615859989077,None,80.28925350005738,81.30295310006477,y,1.6459619000088423,81.28615859989077,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
61,False,intransitive,True,The store shut at six o’clock.,0,1,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.97205889993347,None,82.97178109991364,83.97205889993347,y,1.6797087001614273,83.97205889993347,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
17,True,intransitive,True,The flowers grew in clusters.,0,2,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.6750413000118,None,85.68278669985011,86.69163229991682,y,1.3926295000128448,86.6750413000118,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
37,False,transitive,True,The guards exploded the bomb.,0,3,3,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.09403420006856,None,88.09885339997709,89.11085439985618,y,1.2935955999419093,89.09403420006856,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
55,False,intransitive,True,The sugar dissolved in the milk.,0,4,4,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.41319529991597,None,90.42017959989607,91.42969339992851,y,2.1740603998769075,91.41319529991597,None,,,,001,2021_Dec_01_1257,sentPlausibility,2021.2.3,59.991025302212826,
