sentenceID,isConcordant,sentenceType,isPlausible,sentenceContent,sentenceLoop.thisRepN,sentenceLoop.thisTrialN,sentenceLoop.thisN,sentenceLoop.thisIndex,instr.started,instr.stopped,confirm.keys,confirm.rt,confirm.started,confirm.stopped,isNative.started,isNative.stopped,isNativeResp.keys,isNativeResp.rt,isNativeResp.started,isNativeResp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,practice1Cross.started,practice1Cross.stopped,practice1Text.started,practice1Text.stopped,practice1Resp.keys,practice1Resp.rt,practice1Resp.started,practice1Resp.stopped,feedback1Text.started,feedback1Text.stopped,feedback1Blank.started,feedback1Blank.stopped,practice2Cross.started,practice2Cross.stopped,practice2Text.started,practice2Text.stopped,practice2Resp.keys,practice2Resp.rt,practice2Resp.started,practice2Resp.stopped,feedback2Text.started,feedback2Text.stopped,feedback2Blank.started,feedback2Blank.stopped,sentence.started,sentence.stopped,fixationCross.started,fixationCross.stopped,sentenceResp.keys,sentenceResp.rt,sentenceResp.started,sentenceResp.stopped,debriefText.started,debriefText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,9.81844830000773,None,y,38.84747969999444,9.81844830000773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_25_1023,sentPlausibility,2021.2.3,60.04311097439041,
,,,,,,,,,,,,,,,48.691992100095376,None,y,3.605342800030485,48.691992100095376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_25_1023,sentPlausibility,2021.2.3,60.04311097439041,
,,,,,,,,,,,,,,,,,,,,,52.32108270004392,57.32548920006957,57.30916870001238,None,60.31194120005239,61.31327969999984,61.296639800071716,None,y,2.3205782000441104,61.296639800071716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_25_1023,sentPlausibility,2021.2.3,60.04311097439041,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.662246600026265,68.67030760005582,68.654244900099,None,71.65624480007682,72.65783390006982,72.64121530007105,None,n,2.1916362000629306,72.64121530007105,None,,,,,,,,,,,,,,,,001,2021_Nov_25_1023,sentPlausibility,2021.2.3,60.04311097439041,
44,False,transitive,False,The cake crumbled the cook.,0,0,0,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.87354400008917,79.88140880002175,79.86560510005802,None,83.90228450007271,86.40460870007519,82.91243130003568,83.9189222001005,n,3.1870742000173777,83.90228450007271,None,,,,001,2021_Nov_25_1023,sentPlausibility,2021.2.3,60.04311097439041,
48,False,transitive,False,The soup boiled the cook.,0,1,1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.10669970000163,None,87.1202066000551,88.12337869999465,n,1.6225862000137568,88.10669970000163,None,,,,001,2021_Nov_25_1023,sentPlausibility,2021.2.3,60.04311097439041,
2,True,transitive,False,The box opened the teacher.,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.75933520006947,None,89.7658377001062,90.77592510008253,n,1.6737365000881255,90.75933520006947,None,,,,001,2021_Nov_25_1023,sentPlausibility,2021.2.3,60.04311097439041,
52,False,intransitive,False,The leaves clogged after the rain.,0,3,3,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.44537840003613,None,92.46804920001887,93.4785449000774,n,2.395969499950297,93.44537840003613,None,,,,001,2021_Nov_25_1023,sentPlausibility,2021.2.3,60.04311097439041,
26,True,intransitive,False,The wash shrank in the shirt.,0,4,4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.86547850002535,None,95.86964010004885,96.882163100061,n,2.311969200032763,96.86547850002535,None,,,,001,2021_Nov_25_1023,sentPlausibility,2021.2.3,60.04311097439041,
42,False,transitive,False,The shirt shrank the hot water.,0,5,5,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.20204630005173,None,99.20524250005838,100.21863840008155,n,2.2713201000588015,100.20204630005173,None,,,,001,2021_Nov_25_1023,sentPlausibility,2021.2.3,60.04311097439041,
20,True,intransitive,False,The storm sank in the boat.,0,6,6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.50527600001078,None,102.50996120006312,103.52207810000982,n,1.807576599996537,103.50527600001078,None,,,,001,2021_Nov_25_1023,sentPlausibility,2021.2.3,60.04311097439041,
29,True,intransitive,True,The balloon burst behind the boy.,0,7,7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.3415555000538,None,105.34139620000497,106.3415555000538,n,1.4917149000102654,106.3415555000538,None,,,,001,2021_Nov_25_1023,sentPlausibility,2021.2.3,60.04311097439041,
30,True,intransitive,False,The boy burst behind the balloon.,0,8,8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.84410470002331,None,107.86690600006841,108.87745800008997,n,1.524872099980712,108.84410470002331,None,,,,001,2021_Nov_25_1023,sentPlausibility,2021.2.3,60.04311097439041,
32,True,intransitive,False,The cook boiled in the pot.,0,9,9,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.39655080006924,None,110.39868870005012,111.41321100003552,n,2.0206880000187084,111.39655080006924,None,,,,001,2021_Nov_25_1023,sentPlausibility,2021.2.3,60.04311097439041,
