sentenceID,isConcordant,sentenceType,isPlausible,sentenceContent,sentenceLoop.thisRepN,sentenceLoop.thisTrialN,sentenceLoop.thisN,sentenceLoop.thisIndex,instr.started,instr.stopped,confirm.keys,confirm.rt,confirm.started,confirm.stopped,isNative.started,isNative.stopped,isNativeResp.keys,isNativeResp.rt,isNativeResp.started,isNativeResp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,practice1Cross.started,practice1Cross.stopped,practice1Text.started,practice1Text.stopped,practice1Resp.keys,practice1Resp.started,practice1Resp.stopped,feedback1Text.started,feedback1Text.stopped,feedback1Blank.started,feedback1Blank.stopped,practice2Cross.started,practice2Cross.stopped,practice2Text.started,practice2Text.stopped,practice2Resp.keys,practice2Resp.rt,practice2Resp.started,practice2Resp.stopped,feedback2Text.started,feedback2Text.stopped,feedback2Blank.started,feedback2Blank.stopped,sentence.started,sentence.stopped,fixationCross.started,fixationCross.stopped,sentenceResp.keys,sentenceResp.started,sentenceResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,10.153337999945506,None,y,1.46933180000633,10.153337999945506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_25_1031,sentPlausibility,2021.2.3,59.92319044165627,
,,,,,,,,,,,,,,,11.644511300022714,None,y,2.001588699989952,11.644511300022714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_25_1031,sentPlausibility,2021.2.3,59.92319044165627,
,,,,,,,,,,,,,,,,,,,,,13.673195999930613,18.677839900017716,18.66163919994142,None,21.664071399951354,22.66531599999871,22.64890709996689,27.653412799932994,None,22.64890709996689,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_25_1031,sentPlausibility,2021.2.3,59.92319044165627,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.674521500011906,37.680018199956976,37.66385180002544,None,40.66636080003809,41.667645899928175,41.650856200023554,None,n,2.2835126999998465,41.650856200023554,None,,,,,,,,,,,,,001,2021_Nov_25_1031,sentPlausibility,2021.2.3,59.92319044165627,
15,True,transitive,True,The girl tore her sweater.,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.966977400006726,48.9746231000172,48.958643799996935,None,52.978882499970496,55.48110760003328,51.991753199952655,52.99556409998331,None,52.978882499970496,None,,001,2021_Nov_25_1031,sentPlausibility,2021.2.3,59.92319044165627,
56,False,intransitive,False,The baker dissolved in the milk.,0,1,1,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.48446960002184,60.9864910999313,57.492599899997,58.50113590003457,None,58.48446960002184,57.492599899997,,001,2021_Nov_25_1031,sentPlausibility,2021.2.3,59.92319044165627,
26,True,intransitive,False,The wash shrank in the shirt.,0,2,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.989892499987036,66.49237280001398,62.98845059995074,63.989892499987036,None,63.989892499987036,62.98845059995074,,001,2021_Nov_25_1031,sentPlausibility,2021.2.3,59.92319044165627,
60,False,intransitive,False,The cook heated in the soup.,0,3,3,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.47881270002108,71.98095709993504,68.5022028000094,69.51210549997631,None,69.47881270002108,68.5022028000094,,001,2021_Nov_25_1031,sentPlausibility,2021.2.3,59.92319044165627,
19,True,intransitive,True,The boat sank in the storm.,0,4,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.98425350000616,77.4864509999752,73.99392549996264,75.00094569998328,None,74.98425350000616,73.99392549996264,,001,2021_Nov_25_1031,sentPlausibility,2021.2.3,59.92319044165627,
30,True,intransitive,False,The boy burst behind the balloon.,0,5,5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.48976409994066,82.99194790003821,79.4923791999463,80.50653449993115,None,80.48976409994066,79.4923791999463,,001,2021_Nov_25_1031,sentPlausibility,2021.2.3,59.92319044165627,
