sentenceID,isConcordant,sentenceType,isPlausible,sentenceContent,sentenceLoop.thisRepN,sentenceLoop.thisTrialN,sentenceLoop.thisN,sentenceLoop.thisIndex,instr.started,instr.stopped,confirm.keys,confirm.rt,confirm.started,confirm.stopped,isNative.started,isNative.stopped,isNativeResp.keys,isNativeResp.rt,isNativeResp.started,isNativeResp.stopped,hasReadProb.started,hasReadProb.stopped,hasReadProbResp.keys,hasReadProbResp.rt,hasReadProbResp.started,hasReadProbResp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,practice1Cross.started,practice1Cross.stopped,practice1Text.started,practice1Text.stopped,practice1Resp.keys,practice1Resp.rt,practice1Resp.started,practice1Resp.stopped,feedback1Text.started,feedback1Text.stopped,feedback1Blank.started,feedback1Blank.stopped,practice2Cross.started,practice2Cross.stopped,practice2Text.started,practice2Text.stopped,practice2Resp.keys,practice2Resp.rt,practice2Resp.started,practice2Resp.stopped,feedback2Text.started,feedback2Text.stopped,feedback2Blank.started,feedback2Blank.stopped,sentence.started,sentence.stopped,fixationCross.started,fixationCross.stopped,sentenceResp.keys,sentenceResp.rt,sentenceResp.started,sentenceResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,12.299887900007889,None,y,15.491228300146759,12.299887900007889,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_26_1312,sentPlausibility,2021.2.3,60.12372260054307,
,,,,,,,,,,,,,,,27.816124100005254,None,n,2.4949803999625146,27.816124100005254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_26_1312,sentPlausibility,2021.2.3,60.12372260054307,
,,,,,,,,,,,,,,,,,,,,,30.338448399910703,None,n,4.871742099989206,30.338448399910703,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_26_1312,sentPlausibility,2021.2.3,60.12372260054307,
,,,,,,,,,,,,,,,,,,,,,,,,,,,35.23433919996023,40.24629670009017,40.21350389998406,None,43.22716200002469,44.22662239987403,44.21004939987324,None,y,1.610910200048238,44.21004939987324,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_26_1312,sentPlausibility,2021.2.3,60.12372260054307,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.87192659988068,50.87083190004341,50.85490779997781,None,53.86841859994456,54.867932100081816,54.85128040006384,None,n,1.3207656999584287,54.85128040006384,None,,,,,,,,,,,,,,001,2021_Nov_26_1312,sentPlausibility,2021.2.3,60.12372260054307,
4,True,transitive,False,The pipe clogged the leaves.,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.22974639991298,61.229009199887514,61.213321999879554,None,65.27611569990404,None,64.29258090001531,65.2927107999567,n,1.5022128999698907,65.27611569990404,None,,001,2021_Nov_26_1312,sentPlausibility,2021.2.3,60.12372260054307,
22,True,intransitive,False,The street exploded in the bomb.,0,1,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.80731549998745,None,66.82234230008908,67.82399210007861,n,1.581387999933213,67.80731549998745,None,,001,2021_Nov_26_1312,sentPlausibility,2021.2.3,60.12372260054307,
17,True,intransitive,True,The flowers grew in clusters.,0,2,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.40524969995022,None,69.42085230001248,70.4219684000127,y,1.3316683999728411,70.40524969995022,None,,001,2021_Nov_26_1312,sentPlausibility,2021.2.3,60.12372260054307,
60,False,intransitive,False,The cook heated in the soup.,0,3,3,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.75321380002424,None,71.76824210002087,72.76978109986521,n,1.8540413998998702,72.75321380002424,None,,001,2021_Nov_26_1312,sentPlausibility,2021.2.3,60.12372260054307,
27,True,intransitive,True,The cake crumbled in my hands.,0,4,4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.63433740008622,None,74.6504023000598,75.65098299994133,y,1.7028716001659632,75.63433740008622,None,,001,2021_Nov_26_1312,sentPlausibility,2021.2.3,60.12372260054307,
63,False,intransitive,True,The sweater tore along the seams.,0,5,5,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.38193110004067,80.8961438999977,77.38330290000886,78.39842489990406,y,3.148448499850929,78.38193110004067,None,,001,2021_Nov_26_1312,sentPlausibility,2021.2.3,60.12372260054307,
14,True,transitive,False,The store shut the assistant.,0,6,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.54528379999101,None,81.56046220008284,82.56188370008022,n,1.9247284999582916,82.54528379999101,None,,001,2021_Nov_26_1312,sentPlausibility,2021.2.3,60.12372260054307,
31,True,intransitive,True,The soup boiled in the pot.,0,7,7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.4926783000119,None,84.50697249989025,85.5094147999771,y,1.3099853999447078,85.4926783000119,None,,001,2021_Nov_26_1312,sentPlausibility,2021.2.3,60.12372260054307,
34,False,transitive,False,Flowers grow his parents on their balcony.,0,8,8,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.84097560006194,None,86.84658310003579,87.85762230004184,n,1.440645899856463,87.84097560006194,None,,001,2021_Nov_26_1312,sentPlausibility,2021.2.3,60.12372260054307,
